Gene.identifier	RefSeq.ID	Gene.Symbol	Entrez.Gene	Alternate.Gene.Symbols	Gene.Description	X	MouseGene
ENSG00000064300	NM_002507	NGFR	4804	CD271, TNFRSF16, p75(NTR)	nerve growth factor receptor (TNFR superfamily, member 16) (NGFR), mRNA.	Cell division defect	Ngfr
ENSG00000164631	NM_016265	ZNF12	7559	KOX3, GIOT-3, ZNF325	zinc finger protein 12 (ZNF12), mRNA.	Cell division defect	Zfp12
ENSG00000164616	NM_012159	FBXL21	26223	FBL3B, Fbl21, FBXL3B, FBXL3P	F-box and leucine-rich repeat protein 21 (FBXL21), mRNA.	Cell division defect	Fbxl21
ENSG00000135766	NM_022051	EGLN1	54583	PHD2, SM20, ECYT3, SM-20, HIFPH2, ZMYND6,C1orf12, DKFZp761F179	egl nine homolog 1 (C. elegans) (EGLN1), mRNA.	Cell division defect	Egln1
ENSG00000173250	NM_194251	GPR151	134391	GPCR, PGR7, GALRL	G protein-coupled receptor 151 (GPR151), mRNA.	Cell division defect	Gpr151
ENSG00000187522	NM_016299	HSPA14	51182	HSP70-4, HSP70L1, MGC131990	heat shock 70kDa protein 14	Cell division defect	Hspa14
ENSG00000131507	NM_030571	NDFIP1	80762	N4WBP5, MGC10924	Nedd4 family interacting protein 1 (NDFIP1), mRNA.	Cell division defect	Ndfip1
ENSG00000198901	NM_199414,NM_199413	PRC1	9055	ASE1, MGC1671, MGC3669	protein regulator of cytokinesis 1 (PRC1), transcript variant 3, mRNA.	Cell division defect	Prc1
ENSG00000050767	NM_173465	COL23A1	91522	DKFZp434K0621	collagen, type XXIII, alpha 1 (COL23A1), mRNA.	Cell division defect	Col23a1
ENSG00000153832	NM_174899	FBXO36	130888	Fbx36, FLJ37592	F-box protein 36 (FBXO36), mRNA.	G0/1 arrest	Fbxo36
ENSG00000105668	NM_007000	UPK1A	11045	UP1A, UPIA, UPKA, TSPAN21, MGC14388,MGC129751, MGC129752	uroplakin 1A (UPK1A), mRNA.	G0/1 arrest	Upk1a
ENSG00000096238	NM_001288	CLIC1	1192	G6, NCC27	chloride intracellular channel 1 (CLIC1), mRNA.	G0/1 arrest	Clic1
ENSG00000143126	NM_001408	CELSR2	1952	EGFL2, MEGF3, CDHF10, FLJ34118, FLJ42737,FLJ45143, KIAA0279, Flamingo1	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila) (CELSR2), mRNA.	G0/1 arrest	Celsr2
ENSG00000139132	NM_139241	FGD4	121512	FRABP, FRABIN, ZFYVE6, MGC57222,DKFZp313E1818	FYVE, RhoGEF and PH domain containing 4 (FGD4), mRNA.	G0/1 arrest	Fgd4
ENSG00000105993	NM_058246	DNAJB6	10049	MRJ, HSJ2, HHDJ1, HSJ-2, MSJ-1, MGC1152,FLJ42837, MGC117297, DKFZp566D0824	DnaJ (Hsp40) homolog, subfamily B, member 6 (DNAJB6), transcript variant 1, mRNA.	G0/1 arrest	Dnajb6
ENSG00000166263	NM_178509	STXBP4	252983	Synip, FLJ16496, MGC50337	syntaxin binding protein 4 (STXBP4), mRNA.	G0/1 arrest	Stxbp4
ENSG00000129007	NM_033429,NM_001031733	CALML4	91860	MGC4809, NY-BR-20	calmodulin-like 4 (CALML4), transcript variant 2, mRNA.	G0/1 arrest	Calml4
ENSG00000023572	NM_197962,NM_016066	GLRX2	51022	GRX2, bA101E13.1	glutaredoxin 2 (GLRX2), transcript variant 2, mRNA.	G0/1 arrest	Glrx2
ENSG00000171840	NM_016533	NINJ2	4815		ninjurin 2 (NINJ2), mRNA.	G0/1 arrest	Ninj2
ENSG00000013297	NM_005602	CLDN11	5010	OSP, OTM	claudin 11 (oligodendrocyte transmembrane protein) (CLDN11), mRNA.	G0/1 arrest	Cldn11
ENSG00000005889	NM_003410,NM_003411	ZFX	7543		zinc finger protein, X-linked (ZFX), mRNA.	G0/1 arrest	Zfx
ENSG00000119630	NM_002632	PGF	5228	PLGF, PlGF-2	placental growth factor, vascular endothelial growth factor-related protein (PGF), mRNA.	G0/1 arrest	Pgf
ENSG00000189076	NM_001008781	FAT3	120114	CDHF15, KIAA1989	FAT tumor suppressor homolog 3 (Drosophila)	G0/1 arrest	Fat3
ENSG00000187947	XM_371254	USP24	23358	 	PREDICTED: ubiquitin specific peptidase 24, transcript variant 1 (USP24), mRNA.	G0/1 arrest	Usp24
ENSG00000179087	NM_004668	MGAM	8972	MG, MGA	maltase-glucoamylase (alpha-glucosidase) (MGAM), mRNA.	G0/1 arrest	Mgam
ENSG00000185608	NM_003776	MRPL40	64976	URIM, NLVCF, MGC9400, MRP-L22	mitochondrial ribosomal protein L40 (MRPL40), nuclear gene encoding mitochondrial protein, mRNA.	G0/1 arrest	Mrpl40
ENSG00000138382	NM_014168	METTL5	29081	HSPC133, FLJ10459	methyltransferase like 5 (METTL5), mRNA.	G0/1 arrest	Mettl5
ENSG00000156508	NM_001402	EEF1A1	440595	LOC440595	PREDICTED: similar to eukaryotic translation elongation factor 1 alpha 2, transcript variant 1 (LOC440595), mRNA.	G0/1 arrest	Eef1a1
ENSG00000198947	NM_004023,NM_004019,NM_004021,NM_004022,NM_004017,NM_004007	DMD	1756	BMD, CMD3B, DXS142, DXS164, DXS206,DXS230, DXS239, DXS268, DXS269, DXS270, DXS272	dystrophin (muscular dystrophy, Duchenne and Becker types) (DMD), transcript variant Dp140bc, mRNA.	G0/1 arrest	Dmd
ENSG00000104375	NM_006281	STK3	6788	KRS1, MST2, FLJ90748	serine/threonine kinase 3 (STE20 homolog, yeast) (STK3), mRNA.	G0/1 arrest	Stk3
ENSG00000178718	NM_017793	RPP25	54913	FLJ20374	ribonuclease P 25kDa subunit (RPP25), mRNA.	G0/1 arrest	Rpp25
ENSG00000198815	NM_014947	FOXJ3	22887		forkhead box J3 (FOXJ3), mRNA.	G0/1 arrest	Foxj3
ENSG00000143891	NM_138801	GALM	130589	BLOCK 25	galactose mutarotase (aldose 1-epimerase) (GALM), mRNA.	G0/1 arrest	Galm
ENSG00000104732	NM_002603	PDE7A	5150	HCP1, PDE7	phosphodiesterase 7A	G0/1 arrest	Pde7a
ENSG00000180155	NM_177458,NM_023946,NM_177477	LYNX1	66004	SLURP2, MGC40364	Ly6/neurotoxin 1 (LYNX1), transcript variant SLURP2, mRNA.	G0/1 arrest	Lynx1
ENSG00000144711	NM_014869	IQSEC1	9922	KIAA0763	IQ motif and Sec7 domain 1 (IQSEC1), mRNA.	G2 arrest	Iqsec1
ENSG00000136930	NM_002799	PSMB7	5695	Z	proteasome (prosome, macropain) subunit, beta type, 7 (PSMB7), mRNA.	G2 arrest	Psmb7
ENSG00000187872	NM_001001659	OR2A14	135941	OR2A14P, OR2A6, OST182	OR2A14 olfactory receptor, family 2, subfamily A, member 14	G2 arrest	Olfr444
ENSG00000164610	NM_203288	RP9	6100	PAP-1	retinitis pigmentosa 9 (autosomal dominant) (RP9), mRNA.	G2 arrest	Rp9
ENSG00000167380	NM_015919,NM_001032373	ZNF226	7769		zinc finger protein 226 (ZNF226), transcript variant 4, mRNA.	G2 arrest	Zfp111
ENSG00000198782	NM_000985,XM_370872	RPL17	6139	rpL23, MGC117162	ribosomal protein L17 (RPL17), transcript variant 1, mRNA.	S arrest	Rpl17-ps8
ENSG00000158571	NM_002625	PFKFB1	5207	PFRX, MGC116715	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 (PFKFB1), mRNA.	S arrest	Pfkfb1
ENSG00000167216	NM_031303	KATNAL2	83473	MGC33211, DKFZP667C165	katanin p60 subunit A-like 2 (KATNAL2), mRNA.	S arrest	Katnal2
ENSG00000154451	NM_052942	GBP5	115362	GBP-5	guanylate binding protein 5 (GBP5), mRNA.	S arrest	Gbp5
ENSG00000182225	NM_003094,XM_034623	SNRPE	6635	SME	small nuclear ribonucleoprotein polypeptide E (SNRPE), mRNA.	S arrest	Snrpert
ENSG00000184779	NM_001021	RPS17	6218	RPS17L1, RPS17L2, MGC72007	ribosomal protein S17 (RPS17), mRNA.	S arrest	Rps17
ENSG00000176619	NM_032737	LMNB2	84823	LMN2, LAMB2, MGC2721	lamin B2 (LMNB2), mRNA.	S arrest	Lmnb2
ENSG00000161970	NM_000987	RPL26	6154		ribosomal protein L26 (RPL26), mRNA.	S arrest	Rpl26
ENSG00000100028	NM_004175	SNRPD3	6634	SMD3	small nuclear ribonucleoprotein D3 polypeptide 18kDa (SNRPD3), mRNA.	S arrest	Snrpd3
ENSG00000069188	NM_019064	SDK2	54549	FLJ10832, KIAA1514	sidekick homolog 2 (chicken) (SDK2), mRNA.	Cell division defect	Sdk2
ENSG00000128645	NM_024501	HOXD1	3231	HOX4, HOX4G, Hox-4.7	homeobox D1 (HOXD1), mRNA.	Cell division defect	Hoxd1
ENSG00000112796	NM_021572	ENPP5	59084	KIAA0879	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function) (ENPP5), mRNA.	Cell division defect	Enpp5
ENSG00000179059	NM_174900	ZFP42	132625	REX1, ZNF754	zinc finger protein 42 homolog (mouse) (ZFP42), mRNA.	Cell division defect	Zfp42
ENSG00000143353	NM_138794	LYPLAL1	127018	KIAA1238	lysophospholipase-like 1 (LYPLAL1), mRNA.	Cell division defect	Lyplal1
ENSG00000121864	NM_016331	ZNF639	51193	ZASC1, ANC-2H01, ANC_2H01, 6230400O18Rik	zinc finger protein 639 (ZNF639), mRNA.	Cell division defect	Zfp639
ENSG00000142279	NM_001080436	WTIP	126374	 	PREDICTED: Wilms tumor 1 interacting protein (WTIP), mRNA.	Cell division defect	Wtip
ENSG00000196793	NM_005674	ZNF239	8187	MOK2, HOK-2	zinc finger protein 239 (ZNF239), mRNA.	Cell division defect	Zfp239
ENSG00000158022	NM_032588	TRIM63	84676	IRF, SMRZ, MURF1, MURF2, RNF28, FLJ32380	tripartite motif-containing 63 (TRIM63), mRNA.	Cell division defect	Trim63
ENSG00000150093	NM_002211,NM_033669,NM_033666	ITGB1	3688	CD29, FNRB, MDF2, VLAB, GPIIA, MSK12	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) (ITGB1), transcript variant 1A, mRNA.	Cell division defect	Itgb1
ENSG00000153822	NM_170742	KCNJ16	3773	KIR5.1, MGC33717	potassium inwardly-rectifying channel, subfamily J, member 16 (KCNJ16), transcript variant 3, mRNA.	Cell division defect	Kcnj16
ENSG00000105650	NM_000923	PDE4C	5143	DPDE1, MGC126222, PDE4C-791	phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila) (PDE4C), mRNA.	Cell division defect	Pde4c
ENSG00000114554	NM_032242	PLXNA1	5361	NOV, NOVP, PLXN1, PLEXIN-A1	plexin A1 (PLXNA1), mRNA.	Cell division defect	Plxna1
ENSG00000143575	NM_001018837	HAX1	10456	HS1BP1, HCLSBP1	HCLS1 associated protein X-1 (HAX1), transcript variant 2, mRNA.	Cell division defect	Hax1
ENSG00000167977	NM_018992	KCTD5	54442	FLJ20040	potassium channel tetramerisation domain containing 5 (KCTD5), mRNA.	Cell division defect	Kctd5
ENSG00000118193	NM_014875	KIF14	9928	KIAA0042, MGC142302	kinesin family member 14	Cell division defect	Kif14
ENSG00000135913	NM_020935	USP37	57695	KIAA1594, MGC117261	ubiquitin specific peptidase 37 (USP37), mRNA.	Cell division defect	Usp37
ENSG00000111341	NM_000900	MGP	4256	NTI, GIG36, MGLAP	matrix Gla protein (MGP), mRNA.	Cell division defect	Mgp
ENSG00000172660	NM_139215	TAF15	8148	Npl3, RBP56, TAF2N, TAFII68, hTAFII68	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa (TAF15), transcript variant 1, mRNA.	Cell division defect	Taf15
ENSG00000123500	NM_000493	COL10A1	1300		collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia) (COL10A1), mRNA.	Cell division defect	Col10a1
ENSG00000145826	NM_002302	LECT2	3950	chm2, chm-II, MGC126628	leukocyte cell-derived chemotaxin 2 (LECT2), mRNA.	Cell division defect	Lect2
ENSG00000162999	NM_080876	DUSP19	142679	SKRP1, DUSP17, TS-DSP1, MGC138210	dual specificity phosphatase 19 (DUSP19), mRNA.	Cell division defect	Dusp19
ENSG00000184494	NM_000434	NEU1	4758	NEU, SIAL1	sialidase 1 (lysosomal sialidase) (NEU1), mRNA.	Cell division defect	Neu1
ENSG00000100094	NM_020315	PDXP	57026	CIN, PLP, FLJ32703, dJ37E16.5	pyridoxal (pyridoxine, vitamin B6) phosphatase (PDXP), mRNA.	Cell division defect	Pdxp
ENSG00000117399	NM_001255	CDC20	991	CDC20A, p55CDC, MGC102824, bA276H19.3	CDC20 cell division cycle 20 homolog (S. cerevisiae) (CDC20), mRNA.	Cell division defect	Cdc20
ENSG00000076944	NM_006949	STXBP2	6813	UNC18B, Hunc18b, UNC18-2, pp10122,MUNC18-2	syntaxin binding protein 2 (STXBP2), mRNA.	Cell division defect	Stxbp2
ENSG00000165269	NM_001170	AQP7	364	AQP9, AQP7L, AQPap	aquaporin 7 (AQP7), mRNA.	Cell division defect	Aqp7
ENSG00000102145	NM_002049	GATA1	2623	GF1, NFE1, ERYF1	GATA binding protein 1 (globin transcription factor 1) (GATA1), mRNA.	Cell division defect	Gata1
ENSG00000155760	NM_003507	FZD7	8324	FzE3	frizzled homolog 7 (Drosophila) (FZD7), mRNA.	Cell division defect	Fzd7
ENSG00000135750	NM_002245	KCNK1	3775	DPK, HOHO, TWIK1, TWIK-1	potassium channel, subfamily K, member 1 (KCNK1), mRNA.	Cell division defect	Kcnk1
ENSG00000175352	NM_020645	NRIP3	56675	C11orf14, NY-SAR-105	nuclear receptor interacting protein 3 (NRIP3), mRNA.	Cell division defect	Nrip3
ENSG00000119801	NM_016061	YPEL5	51646	CGI-127	yippee-like 5 (Drosophila) (YPEL5), mRNA.	Cell division defect	Ypel5
ENSG00000159423	NM_003748,NM_170726	ALDH4A1	8659	P5CD, ALDH4, P5CDh, P5CDhL, P5CDhS	aldehyde dehydrogenase 4 family, member A1 (ALDH4A1), nuclear gene encoding mitochondrial protein, transcript variant P5CDhL, mRNA.	Cell division defect	Aldh4a1
ENSG00000069702	NM_003243	TGFBR3	7049		transforming growth factor, beta receptor III (betaglycan, 300kDa) (TGFBR3), mRNA.	Cell division defect	Tgfbr3
ENSG00000171606	NM_016324	ZNF274	10782	ZF2, HFB101, FLJ37843, DKFZp686K08243	zinc finger protein 274 (ZNF274), transcript variant ZNF274b, mRNA.	Cell division defect	Zfp369
ENSG00000107779	NM_004329,XM_208545	BMPR1A	657	ALK3, CD292, ACVRLK3	bone morphogenetic protein receptor, type IA (BMPR1A), mRNA.	Cell division defect	Bmpr1a
ENSG00000174151	NM_182580	CYB561D1	284613	FLJ39035, FLJ44753, RP5-831G13.3	cytochrome b-561 domain containing 1 (CYB561D1), mRNA.	Cell division defect	Cyb561d1
ENSG00000168067	NM_004579	MAP4K2	5871	GCK, BL44, RAB8IP	mitogen-activated protein kinase kinase kinase kinase 2 (MAP4K2), mRNA.	Cell division defect	Map4k2
ENSG00000166446	NM_152342	CDYL2	124359	FLJ38866	chromodomain protein, Y-like 2 (CDYL2), mRNA.	Cell division defect	Cdyl2
ENSG00000170185	NM_032557	USP38	84640	FLJ35970, HP43.8KD, KIAA1891	ubiquitin specific peptidase 38 (USP38), mRNA.	Cell division defect	Usp38
ENSG00000130224	NM_020871	LRCH2	57631	KIAA1495, dA204F4.4	leucine-rich repeats and calponin homology (CH) domain containing 2 (LRCH2), mRNA.	Cell division defect	Lrch2
ENSG00000182473	NM_001013839,NM_015219	EXOC7	23265	EX070, EXO70, EXOC1, 2-5-3p, Exo70p,YJL085W, FLJ46415, DKFZp686J04253	exocyst complex component 7 (EXOC7), transcript variant 1, mRNA.	Cell division defect	Exoc7
ENSG00000183287	NM_133459	CCBE1	147372	FLJ30681, MGC50861	collagen and calcium binding EGF domains 1 (CCBE1), mRNA.	Cell division defect	Ccbe1
ENSG00000166747	NM_001128	AP1G1	164	ADTG, CLAPG1, MGC18255	adaptor-related protein complex 1, gamma 1 subunit (AP1G1), transcript variant 2, mRNA.	Cell division defect	Ap1g1
ENSG00000170906	NM_004542	NDUFA3	4696	B9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa (NDUFA3), mRNA.	Cell division defect	Ndufa3
ENSG00000139625	NM_006301	MAP3K12	7786	DLK, MUK, ZPK, ZPKP1	mitogen-activated protein kinase kinase kinase 12 (MAP3K12), mRNA.	Cell division defect	Map3k12
ENSG00000126602	NM_016292	TRAP1	10131	HSP75, HSP90L	TNF receptor-associated protein 1 (TRAP1), mRNA.	Cell division defect	Trap1
ENSG00000137315	NM_005931	MICB	4277	PERB11.2	MHC class I polypeptide-related sequence B (MICB), mRNA.	Cell division defect	Mill2
ENSG00000131626	NM_177423	PPFIA1	8500	LIP1, LIP.1, LIPRIN, MGC26800	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 (PPFIA1), transcript variant 1, mRNA.	Cell division defect	Ppfia1
ENSG00000143368	NM_005850	SF3B4	10262	SAP49, SF3b49, MGC10828	splicing factor 3b, subunit 4, 49kDa (SF3B4), mRNA.	Cell division defect	Sf3b4
ENSG00000138778	NM_001813	CENPE	1062	KIF10	centromere protein E, 312kDa (CENPE), mRNA.	Cell division defect	Cenpe
ENSG00000131795	NM_005105	RBM8A	9939	Y14, RBM8, ZNRP, RBM8B, ZRNP1, BOV-1A,BOV-1B, BOV-1C, MDS014	RNA binding motif protein 8A (RBM8A), mRNA.	Cell division defect	Rbm8a
ENSG00000184708	NM_019843	EIF4ENIF1	56478	4E-T, Clast4, FLJ21601	eukaryotic translation initiation factor 4E nuclear import factor 1 (EIF4ENIF1), mRNA.	Cell division defect	Eif4enif1
ENSG00000115318	NM_032603	LOXL3	84695	LOXL	lysyl oxidase-like 3 (LOXL3), mRNA.	Cell division defect	Loxl3
ENSG00000113946	NM_006580	CLDN16	10686	PCLN1	claudin 16 (CLDN16), mRNA.	Cell division defect	Cldn16
ENSG00000055483	NM_025090	USP36	57602	DUB1	ubiquitin specific peptidase 36 (USP36), mRNA.	Cell division defect	Usp36
ENSG00000101849	NM_005647	TBL1X	6907	EBI, TBL1	transducin (beta)-like 1X-linked (TBL1X), mRNA.	Cell division defect	Tbl1x
ENSG00000096401	NM_001253	CDC5L	988	hCDC5, PCDC5RP, KIAA0432, dJ319D22.1	CDC5 cell division cycle 5-like (S. pombe) (CDC5L), mRNA.	Cell division defect	Cdc5l
ENSG00000147065	NM_002444	MSN	4478		moesin (MSN), mRNA.	Cell division defect	Msn
ENSG00000131080	NM_021783	EDA2R	60401	XEDAR, EDAA2R, EDA-A2R, TNFRSF27	ectodysplasin A2 receptor (EDA2R), mRNA.	Cell division defect	Eda2r
ENSG00000137379	NM_178014	TUBB	203068	M40, TUBB1, TUBB5, MGC16435, MGC117247,OK/SW-cl.56	tubulin, beta (TUBB), mRNA.	Cell division defect	Tubb5
ENSG00000055130	NM_003592	CUL1	8454		cullin 1 (CUL1), mRNA.	Cell division defect	Cul1
ENSG00000136160	NM_003991	EDNRB	1910	ETB, ETRB, HSCR, ABCDS, HSCR2	endothelin receptor type B (EDNRB), transcript variant 2, mRNA.	Cell division defect	Ednrb
ENSG00000153107	NM_022662	ANAPC1	64682	APC1, MCPR, TSG24	anaphase promoting complex subunit 1 (ANAPC1), mRNA.	Cell division defect	Anapc1
ENSG00000128585	NM_013255	MKLN1	4289	FLJ11162	muskelin 1, intracellular mediator containing kelch motifs (MKLN1), mRNA.	Cell division defect	Mkln1
ENSG00000158828	NM_032409	PINK1	65018	BRPK, PARK6, FLJ27236	PTEN induced putative kinase 1 (PINK1), mRNA.	Cell division defect	Pink1
ENSG00000196405	NM_016337	EVL	51466	RNB6	Enah/Vasp-like (EVL), mRNA.	Cell division defect	Evl
ENSG00000082898	NM_003400	XPO1	7514	CRM1, DKFZp686B1823	exportin 1 (CRM1 homolog, yeast) (XPO1), mRNA.	Cell division defect	Xpo1
ENSG00000136444	NM_018346	RSAD1	55316	FLJ11164, FLJ20975	radical S-adenosyl methionine domain containing 1 (RSAD1), mRNA.	Cell division defect	Rsad1
ENSG00000103942	NM_004839	HOMER2	9455	CPD, ACPD, Vesl-2, HOMER-2, HOMER2A,HOMER2B	homer homolog 2 (Drosophila) (HOMER2), transcript variant 1, mRNA.	Cell division defect	Homer2
ENSG00000196498	NM_006312	NCOR2	9612	SMRT, CTG26, SMRTE, TRAC1, TNRC14,TRAC-1, SMRTE-tau	nuclear receptor co-repressor 2 (NCOR2), mRNA.	Cell division defect	Ncor2
ENSG00000136732	NM_002101,NM_016815	GYPC	2995	GE, GPC, GYPD, CD236, CD236R, MGC117309,MGC126191, MGC126192	glycophorin C (Gerbich blood group) (GYPC), transcript variant 1, mRNA.	Cell division defect	Gypc
ENSG00000135637	NM_053050,NM_032779	MRPL53	116540	FLJ90728, MGC20402	mitochondrial ribosomal protein L53 (MRPL53), nuclear gene encoding mitochondrial protein, mRNA.	Cell division defect	Mrpl53
ENSG00000104368	NM_000930,NM_000931,NM_033011	PLAT	5327	TPA, T-PA, DKFZp686I03148	plasminogen activator, tissue (PLAT), transcript variant 1, mRNA.	G0/1 arrest	Plat
ENSG00000124126	NM_020820	PREX1	57580	KIAA1415	phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1 (PREX1), mRNA.	G0/1 arrest	Prex1
ENSG00000157181	NM_017847	C1orf27	54953	TTG1, odr-4, FLJ20505	chromosome 1 open reading frame 27 (C1orf27), mRNA.	G0/1 arrest	BC003331
ENSG00000134762	NM_001941,NM_024423	DSC3	1825	DSC, DSC1, DSC2, DSC4, CDHF3, HT-CP	desmocollin 3 (DSC3), transcript variant Dsc3a, mRNA.	G0/1 arrest	Dsc3
ENSG00000118007	NM_005862	STAG1	10274	SA1, DKFZp781D1416	stromal antigen 1 (STAG1), mRNA.	G0/1 arrest	Stag1
ENSG00000148730	NM_004096	EIF4EBP2	1979	4EBP2	eukaryotic translation initiation factor 4E binding protein 2 (EIF4EBP2), mRNA.	G0/1 arrest	Eif4ebp2
ENSG00000133020	NM_002472	MYH8	4626	MyHC-pn, MyHC-peri	myosin, heavy polypeptide 8, skeletal muscle, perinatal (MYH8), mRNA.	G0/1 arrest	Myh8
ENSG00000108439	NM_018129	PNPO	55163	PDXPO, FLJ10535	pyridoxamine 5'-phosphate oxidase (PNPO), mRNA.	G0/1 arrest	Pnpo
ENSG00000133111	NM_000538	RFXAP	5994		regulatory factor X-associated protein (RFXAP), mRNA.	G0/1 arrest	Rfxap
ENSG00000012048	NM_007296,NM_007297,NM_007302,NM_007306,NM_007294,NM_007299,NM_007295,NM_007300,NM_007301	BRCA1	672	IRIS, PSCP, BRCAI, BRCC1, RNF53	breast cancer 1, early onset (BRCA1), transcript variant BRCA1a', mRNA.	G0/1 arrest	Brca1
ENSG00000065911	NM_006636	MTHFD2	10797	NMDMC	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase (MTHFD2), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	G0/1 arrest	Mthfd2
ENSG00000101076	NM_178849,NM_001030003,NM_001030004	HNF4A	3172	TCF, HNF4, MODY, MODY1, NR2A1, TCF14,HNF4a7, HNF4a8, HNF4a9, NR2A21, FLJ39654	hepatocyte nuclear factor 4, alpha (HNF4A), transcript variant 1, mRNA.	G0/1 arrest	Hnf4a
ENSG00000126456	NM_001571	IRF3	3661		interferon regulatory factor 3 (IRF3), mRNA.	G0/1 arrest	Irf3
ENSG00000125445	NM_015971	MRPS7	51081	MRP-S, RP-S7, RPMS7, MRP-S7	mitochondrial ribosomal protein S7 (MRPS7), nuclear gene encoding mitochondrial protein, mRNA.	G0/1 arrest	Mrps7
ENSG00000106080	NM_017946	FKBP14	55033	FKBP22, FLJ20731	FK506 binding protein 14, 22 kDa (FKBP14), mRNA.	G0/1 arrest	Fkbp14
ENSG00000182093	NM_004627	WRB	7485	CHD5	tryptophan rich basic protein (WRB), mRNA.	G0/1 arrest	Wrb
ENSG00000086967	NM_004533	MYBPC2	4606	MYBPC, MYBPCF	myosin binding protein C, fast type (MYBPC2), mRNA.	G0/1 arrest	Mybpc2
ENSG00000135540	XM_496826	NHSL1	57224	 	PREDICTED: NHS-like 1, transcript variant 1 (NHSL1), mRNA.	G0/1 arrest	Nhsl1
ENSG00000111361	NM_001414	EIF2B1	1967	EIF2B, EIF-2B, EIF2BA, MGC117409,MGC125868, MGC125869, EIF-2Balpha	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa (EIF2B1), mRNA.	G0/1 arrest	Eif2b1
ENSG00000113615	NM_021982	SEC24A	10802		SEC24 related gene family, member A (S. cerevisiae)	G0/1 arrest	Sec24a
ENSG00000145740	NM_022902	SLC30A5	64924	ZNT5, ZTL1, ZNTL1, ZnT-5, MGC5499,FLJ12496, FLJ12756	solute carrier family 30 (zinc transporter), member 5 (SLC30A5), transcript variant 1, mRNA.	G0/1 arrest	Slc30a5
ENSG00000125870	NM_003092	SNRPB2	6629	MGC24807, MGC45309	small nuclear ribonucleoprotein polypeptide B'' (SNRPB2), transcript variant 1, mRNA.	G0/1 arrest	Snrpb2
ENSG00000125945	NM_030634	ZNF436	80818	ZNF, KIAA1710	zinc finger protein 436 (ZNF436), mRNA.	G0/1 arrest	Zfp46
ENSG00000170624	NM_000337	SGCD	6444	SGD, DAGD, 35DAG, CMD1L, SGCDP, MGC22567,SG-delta	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein) (SGCD), transcript variant 1, mRNA.	G0/1 arrest	Sgcd
ENSG00000136560	NM_133484	TANK	10010	TRAF2, I-TRAF	TRAF family member-associated NFKB activator (TANK), transcript variant 2, mRNA.	G0/1 arrest	Tank
ENSG00000154640	NM_006806	BTG3	10950	ANA, TOB5, TOFA, TOB55, MGC8928	BTG family, member 3 (BTG3), mRNA.	G0/1 arrest	Btg3
ENSG00000161040	NM_145032	FBXL13	222235	Fbl13, FLJ38068, MGC21636	F-box and leucine-rich repeat protein 13 (FBXL13), mRNA.	G0/1 arrest	Fbxl13
ENSG00000175104	NM_004620	TRAF6	7189	RNF85, MGC	TNF receptor-associated factor 6 (TRAF6), transcript variant 2, mRNA.	G0/1 arrest	Traf6
ENSG00000146215	NM_206922	CRIP3	401262	TLP, TLP-A, bA480N24.2	cysteine-rich protein 3 (CRIP3), mRNA.	G0/1 arrest	Crip3
ENSG00000166986	NM_004990	MARS	4141	METRS, MTRNS	methionine-tRNA synthetase (MARS), mRNA.	G0/1 arrest	Mars
ENSG00000051596	NM_032361	THOC3	84321	TEX1, MGC5469	THO complex 3 (THOC3), mRNA.	G0/1 arrest	Thoc3
ENSG00000182977	NM_001465,NM_199335	FYB	2533	ADAP, PRO0823, SLAP-130	FYN binding protein (FYB-120/130) (FYB), transcript variant 1, mRNA.	G0/1 arrest	Fyb
ENSG00000173757	NM_012448	STAT5B	6777	STAT5	signal transducer and activator of transcription 5B (STAT5B), mRNA.	G0/1 arrest	Stat5b
ENSG00000124571	NM_020750	XPO5	57510	FLJ14239, FLJ32057, KIAA1291	exportin 5 (XPO5), mRNA.	G0/1 arrest	Xpo5
ENSG00000138185	NM_001776	ENTPD1	953	CD39, ATPDase, NTPDase-1	ectonucleoside triphosphate diphosphohydrolase 1 (ENTPD1), mRNA.	G0/1 arrest	Entpd1
ENSG00000153807	NM_018951	HOXA10	3206	PL, HOX1, HOX1H, HOX1.8, MGC12859	homeobox A10 (HOXA10), transcript variant 1, mRNA.	G0/1 arrest	Hoxa10
